,EAST,WEST,NORTH,COAST
0,1302.296674,973.4557,757.843076,12054.939199
1,1259.355201,959.775908,737.236591,11793.290315
2,1210.287905,941.112359,725.610502,11460.841252
3,1179.311517,920.373708,717.420214,11244.980243
4,1171.841803,918.203309,719.178247,11073.085585
5,1174.850389,916.121914,733.134986,11011.385994
6,1185.955879,929.41012,744.932391,11067.715175
7,1205.327441,944.556897,765.270014,11052.554919
8,1254.335681,971.738127,789.451234,11330.829064
9,1359.640549,1005.331539,828.494596,11930.178538
10,1433.135595,1023.556407,878.705544,12591.364742
11,1503.857456,1043.74823,917.747693,13268.023904
12,1547.658296,1054.449853,933.497547,13861.015398
13,1574.036313,1065.299757,954.602004,14344.021327
14,1552.687203,1074.971956,984.999549,14614.906857
15,1519.307443,1092.433046,1029.745806,14597.067349
16,1502.393961,1116.886036,1090.442685,14273.787857
17,1480.541368,1145.995848,1174.950934,13993.893171
18,1492.826219,1186.252595,1244.055116,13924.683251
19,1450.979196,1183.362451,1266.334657,13519.472479
20,1423.423061,1186.0537,1291.435422,13131.476237
21,1395.9172,1189.623247,1304.409238,12747.295975
22,1357.083984,1185.096978,1302.7525,12274.50435
23,1343.740511,1177.976956,1294.655779,11743.443529
24,1427.802849,1234.924343,1253.761904,10777.158984
25,1437.911798,1257.792069,1259.19521,10084.401315
26,1461.333638,1282.598651,1266.735701,9643.017602
27,1505.795936,1315.90226,1277.161408,9491.985476
28,1588.71147,1357.846281,1296.433954,9555.400497
29,1690.710406,1409.333384,1326.712598,9799.055959
30,1812.262388,1476.536566,1354.593991,10255.763553
31,1950.842714,1549.655815,1392.20457,10839.823703
32,2075.64569,1581.62316,1411.254457,11543.127454
33,2163.220395,1568.386611,1404.098487,12212.070444
34,2169.556124,1512.670322,1357.587611,12585.289187
35,2157.458309,1449.194157,1307.802163,12755.545225
36,2131.292477,1388.416639,1248.687504,12866.640376
37,2086.510141,1329.691707,1194.182822,12819.434676
38,2022.099993,1280.673012,1145.950241,12709.687056
39,1969.466725,1248.83878,1110.251707,12633.851663
40,1975.696136,1245.345899,1112.408859,12695.008751
41,2055.840356,1302.592923,1181.114575,13283.98398
42,2137.111731,1409.675609,1257.648393,13903.668231
43,2133.767702,1454.710609,1276.201313,13944.221599
44,2118.303952,1473.807461,1276.699174,13799.84883
45,2074.633138,1464.523353,1266.859885,13613.319732
46,1998.497842,1428.503303,1227.947394,13233.904986
47,1950.240685,1410.84245,1200.400518,12845.191033
48,1987.28021,1397.190665,1183.932318,12495.895466
49,1953.409848,1402.820913,1183.712766,12388.254729
50,2018.454653,1409.601263,1194.620268,12294.078908
51,2043.762616,1435.986434,1210.016952,12366.425508
52,2098.149973,1479.572074,1235.277787,12685.30761
53,2217.816502,1532.167255,1283.844668,13223.967842
54,2364.64327,1625.066365,1350.664173,13926.167513
55,2430.800556,1686.675775,1408.133358,14380.012046
56,2386.857514,1642.924531,1394.442508,14425.425954
57,2234.342265,1536.323805,1329.605272,14270.338687
58,2078.687927,1422.969141,1254.324717,13993.848244
59,1929.775297,1327.857902,1176.412422,13640.736943
60,1809.966299,1248.492826,1109.067567,13207.457852
61,1706.313258,1196.443329,1062.637406,12868.815322
62,1646.925104,1154.967779,1026.047569,12576.903436
63,1630.163244,1132.474203,1003.177912,12435.678848
64,1664.938276,1138.443746,1002.521217,12346.209939
